,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
1,256.198395,344.0,-100.0,0.6346528802912108,0.6823215047715094,0.5341925203420648,0.671273,0.641262,0.371719,68.1783284107859,46.309834845012716,1,0,Default series,1,1,0.01
3,199.974075,351.877136,-157.355,0.5640825135348195,0.6922085496750311,0.4622029723081745,0.447513,0.563921,0.6940649999999999,46.04724345392161,38.43459911540996,1,0,Default series,1,1,0.01
4,61.93335,21.684322,-124.568,0.3908196872246365,0.27776462248649636,0.5033558153277397,-0.654601,0.659643,-0.369282,111.67134318347279,315.2198099462734,1,0,Default series,1,1,0.01
5,274.0,130.46524,-128.0,0.6569966950977288,0.4143017878867523,0.49904811540877336,0.29201,0.9528120000000001,-0.082946,94.75792218209253,17.03882464940317,1,0,Default series,1,1,0.01
6,91.941277,221.176559,-122.021,0.42848435642808824,0.5281587638499299,0.5065527010193501,-0.089229,-0.573854,0.814082,35.503306996527385,188.83819025138212,1,0,Default series,1,1,0.01
7,222.377396,135.949524,-107.37700000000001,0.5922022058589091,0.4211854270890799,0.5249332247994616,0.326241,-0.835915,0.44137600000000005,63.80829164966559,158.68028727395642,1,0,Default series,1,1,0.01
9,245.243591,196.0,-152.0,0.620902877871895,0.49655822155268337,0.4689243397516665,0.910792,0.383353,0.153293,81.1821907480132,67.17373987028303,1,0,Default series,1,1,0.01
17,254.10321000000002,48.0,-108.0,0.6320230935037051,0.31079493833385735,0.5241512617896958,0.560875,-0.410498,0.718965,44.03090509492872,126.1999703555793,1,0,Default series,1,1,0.01
18,89.94702099999999,186.874222,-154.019,0.42598125141363663,0.4851039345039933,0.4663901771245123,0.017744,0.234906,0.9718559999999999,13.625561343118004,4.319724909208859,1,0,Default series,1,1,0.01
23,250.0,58.0,-107.414,0.6268729194406218,0.3233465115243186,0.5248867839786568,0.17238399999999998,0.197873,0.964951,15.214305828393973,41.06189313900977,1,0,Default series,1,1,0.01
29,83.95931999999999,136.787476,-88.0143,0.4184657446792268,0.42223718867488924,0.5492364594209559,0.034526,-0.499821,0.86544,30.067014467089727,176.04847199138914,1,0,Default series,1,1,0.01
31,263.17431600000003,110.0,-100.0,0.6434087585914483,0.3886146921147169,0.5341925203420648,-0.6537569999999999,0.141291,0.743397,41.978402480662005,282.19528889036735,1,0,Default series,1,1,0.01
34,192.50256299999998,77.99568199999999,-130.0,0.5547045905636785,0.34844423813593733,0.4965378007706811,-0.684783,0.6423810000000001,0.344121,69.87185242016045,313.1700607319705,1,0,Default series,1,1,0.01
54,67.978409,195.897736,-88.7165,0.39840718727255214,0.49642986414460843,0.5483550879515217,0.43545600000000007,0.5489930000000001,0.713432,44.48515718204045,38.42111494470494,1,0,Default series,1,1,0.01
60,216.0,16.241158,-112.0,0.5841975705930538,0.27093259535312797,0.5191306325135113,-0.49605600000000005,-0.8513149999999999,0.170853,80.16258202899151,210.22909141574516,1,0,Default series,1,1,0.01
62,284.0,0.0,-156.667,0.66954826828819,0.2505473870196435,0.4630665205436782,0.282885,-0.45350799999999997,0.845166,32.31027423299227,148.04529396939597,1,0,Default series,1,1,0.01
74,225.999985,22.0,-82.7123,0.5967491249561552,0.27816084803865815,0.5558913035265385,-0.022006,-0.5266930000000001,0.8497709999999999,31.813229186690812,182.39250950084684,1,0,Default series,1,1,0.01
75,246.0,20.808941,-102.0,0.6218522901644373,0.2766658816173924,0.5316822057039725,0.860607,-0.503509,0.076377,85.61965443639401,120.33030780037345,1,0,Default series,1,1,0.01
79,225.999985,4.0,-150.18,0.5967491249561552,0.255568016295828,0.4712087260723304,0.42045200000000005,-0.561447,0.7127399999999999,44.54171118447147,143.17148365594224,1,0,Default series,1,1,0.01
86,183.996948,66.059166,-128.001,0.5440287056434401,0.33346203271462627,0.49904686025145434,-0.830942,0.48717200000000005,0.2687,74.41307608163832,300.3826190476976,1,0,Default series,1,1,0.01
90,222.0,47.034977000000005,-126.0,0.5917285145073304,0.30958368265235947,0.5015584300468656,-0.37299,0.79155,0.484074,61.04817879088979,334.7694970694546,1,0,Default series,1,1,0.01
97,278.0,310.0,-148.564,0.6620173243739133,0.6396461559239413,0.4732370602999089,0.004398,0.097342,0.9952409999999999,5.592009068933636,2.586916095157559,1,0,Default series,1,1,0.01
103,234.000015,60.0,-117.291,0.6067904211632437,0.3258568261624108,0.5124895951384383,-0.288197,0.625587,-0.7249720000000001,136.4665186128175,335.26530187871333,1,0,Default series,1,1,0.01
105,96.909615,155.787079,-86.0158,0.43472040223228325,0.4460846794393099,0.5517448913230696,0.9283239999999999,0.32463600000000004,0.18118,79.56150099215483,70.72520777642045,1,0,Default series,1,1,0.01
115,258.0,32.0,-157.987,0.6369141779929908,0.2907124212291194,0.46140971288253735,0.284957,-0.12186300000000001,0.9507620000000001,18.054527314535047,113.15416743667664,1,0,Default series,1,1,0.01
119,259.589905,52.0,-124.0,0.6389097588903289,0.3158155676100418,0.5040687446849579,0.908482,-0.41667200000000004,0.032336000000000004,88.1469606497345,114.63838653835607,1,0,Default series,1,1,0.01
122,45.957462,29.798527000000004,-165.832,0.3707674344731754,0.28794922628048697,0.4515630037146205,-0.220671,-0.25659,0.940992,19.78117725168578,220.6959931363283,1,0,Default series,1,1,0.01
130,133.933502,189.685013,-150.94899999999998,0.4811912049798698,0.48863191939995226,0.47024351009398396,-0.086184,-0.045357999999999996,0.995246,5.589068367394559,242.24250060433914,1,0,Default series,1,1,0.01
136,274.0,320.0,-150.799,0.6569966950977288,0.6521977291144025,0.47043178369184085,-0.03578,0.142692,0.9891200000000001,8.459537618920045,345.9233267729093,1,0,Default series,1,1,0.01
138,220.0,14.547660999999998,-96.0,0.5892181998692382,0.26880699019879534,0.5392131496182493,-0.280398,-0.933689,0.222716,77.13139299645538,196.7156424678031,1,0,Default series,1,1,0.01
143,296.0,52.0,-152.003,0.6846101561167435,0.3158155676100418,0.46892057427970935,-0.027757,0.011367,0.99955,1.7189378496715488,292.2699985516098,1,0,Default series,1,1,0.01
147,67.700737,37.674107,-124.024,0.398058665229458,0.29783431815922023,0.5040386209093007,-0.69928,-0.170749,-0.694155,133.95991982233213,256.278121859919,1,0,Default series,1,1,0.01
149,286.139404,186.0,-148.0,0.6722335568771866,0.4840066483622222,0.47394496902785094,0.15140499999999998,0.12800999999999998,-0.9801479999999999,168.56434984789487,49.78612642774671,1,0,Default series,1,1,0.01
153,53.960629000000004,114.597755,-142.014,0.38081266810877384,0.3943855979541478,0.481458340739661,-0.520646,-0.621436,0.585445,54.16556655594525,219.95664995894907,1,0,Default series,1,1,0.01
158,53.971924,135.86703500000002,-106.425,0.3808268451106924,0.4210818904169891,0.5261281345671934,-0.45180600000000004,-0.154228,0.878684,28.51597966160554,251.1522042560525,1,0,Default series,1,1,0.01
169,188.839722,293.808563,-140.014,0.5501071488740263,0.619323355267517,0.48396865537775324,0.236698,-0.9545450000000001,0.18115599999999998,79.56289922865366,166.07330696423074,1,0,Default series,1,1,0.01
171,113.94801299999999,57.753780000000006,-100.927,0.45610627218680405,0.32303746668922306,0.533028989507309,0.176979,-0.519555,0.835907,33.289600319390786,161.1893225055931,1,0,Default series,1,1,0.01
173,133.934143,197.688049,-151.9,0.48119200953571134,0.49867698860994186,0.46904985548357103,-0.0077859999999999995,0.264209,0.964434,15.326775460366497,358.3120337689835,1,0,Default series,1,1,0.01
183,222.0,11.223932000000001,-130.0,0.5917285145073304,0.26463518741791947,0.4965378007706811,0.24768600000000002,-0.961744,0.117051,83.27806222943249,165.55797216574794,1,0,Default series,1,1,0.01
185,252.0,29.730774,-148.0,0.6293832340787141,0.2878641856066496,0.47394496902785094,0.322948,-0.883901,-0.338266,109.77126458583346,159.92937923056152,1,0,Default series,1,1,0.01
186,19.990532,61.703444999999995,-166.003,0.33817485223051713,0.3279949176217533,0.45134837181306364,-0.000491,0.116692,0.993168,6.70130103491286,359.7589203911028,1,0,Default series,1,1,0.01
191,234.000015,100.62604499999999,-126.0,0.6067904211632437,0.3768489038880579,0.5015584300468656,-0.113096,0.981081,0.157125,80.95993986037043,353.42414460495127,1,0,Default series,1,1,0.01
201,272.0,191.546844,-108.0,0.6544863804596366,0.49096881020642924,0.5241512617896958,-0.279634,0.712384,0.6436729999999999,49.93374566830084,338.5683702918607,1,0,Default series,1,1,0.01
202,109.95449099999999,359.784424,-112.134,0.4510937738197323,0.7021334400820367,0.5189624414327592,-0.574248,0.734062,0.36248,68.74742035408433,321.9643493126905,1,0,Default series,1,1,0.01
203,187.998703,68.14331800000001,-120.0,0.5490515377207195,0.33607797135143086,0.5090893739611424,-0.858875,0.508309,0.062889,86.39434631087721,300.61836947375474,1,0,Default series,1,1,0.01
205,128.14505,223.248428,-125.469,0.47392578708612265,0.5307592853893847,0.5022249185832791,-0.44018100000000004,-0.879704,-0.179895,100.36364391413403,206.58219102538374,1,0,Default series,1,1,0.01
213,146.101547,209.554932,-154.339,0.4964640157201024,0.5135717936616558,0.4659885267824176,-0.300523,0.201431,0.932261,21.209947995095288,303.8326883406012,1,0,Default series,1,1,0.01
217,262.82980299999997,328.0,-132.0,0.6429763405779917,0.6622389876667715,0.4940274861325889,0.826577,-0.504791,-0.24891,104.41302098264636,121.41243388285507,1,0,Default series,1,1,0.01
231,71.965492,183.83656299999998,-156.32,0.4034116036816465,0.48129119457737696,0.46350206013338724,-0.31582899999999997,-0.114876,0.941836,19.637789571193327,250.01223246981232,1,0,Default series,1,1,0.01
234,229.990173,359.399445,-142.003,0.6017574386287252,0.7016502308725077,0.48147214747017053,-0.314884,0.946624,-0.068922,93.95207282085667,341.6008660744849,1,0,Default series,1,1,0.01
