,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
0,272.0,86.0,-149.12,0.6544863804596366,0.35849091645761,0.47253919283051926,0,Default series,1,1,2e-06
2,236.0,17.083025,-90.0,0.6093007169739761,0.27198927087984137,0.546744093532526,0,Default series,1,1,2e-06
8,8.221661,55.990696,-102.001,0.32340306765795745,0.32082451890252994,0.5316809505466535,0,Default series,1,1,2e-06
10,47.999996,380.0,-136.273,0.373331135972676,0.7275071682571698,0.4886641989083048,0,Default series,1,1,2e-06
11,224.0,148.0,-100.366,0.5942388291454227,0.43631067023846953,0.5337331327632939,0,Default series,1,1,2e-06
12,93.938942,161.710815,-103.44200000000001,0.4309917402738405,0.4535199000358069,0.529872268849908,0,Default series,1,1,2e-06
13,188.506622,26.0,-148.0,0.5496890559710521,0.28318147731484267,0.47394496902785094,0,Default series,1,1,2e-06
14,207.99233999999998,231.96372999999997,-146.066,0.5741466975356209,0.541698360482382,0.47637244328288614,0,Default series,1,1,2e-06
15,125.92761999999999,133.45768700000002,-118.025,0.4711425635921502,0.41805777964066,0.5115683096662584,0,Default series,1,1,2e-06
16,140.06311000000002,226.697067,-144.454,0.4888848273239535,0.5350878698709826,0.47839575688118846,0,Default series,1,1,2e-06
19,11.995057000000001,55.97659300000001,-166.908,0.3281392732650168,0.3208068174188594,0.4502124544393269,0,Default series,1,1,2e-06
20,27.987003,72.288437,-168.005,0.3482116813327072,0.341280747802598,0.4488355468603333,0,Default series,1,1,2e-06
21,79.93335,125.21450800000001,-126.023,0.4134125189674667,0.4077112931866027,0.5015295614285276,0,Default series,1,1,2e-06
22,53.965199,115.835167,-153.873,0.38081840417772184,0.3959387446826233,0.4665734300930931,0,Default series,1,1,2e-06
24,109.92408799999998,89.049194,-122.027,0.45105561327176136,0.3623181346239015,0.5065451700754359,0,Default series,1,1,2e-06
25,139.959885,63.11101899999999,-158.014,0.48875526370969496,0.32976164442995237,0.4613758236349231,0,Default series,1,1,2e-06
26,280.0,48.0,-154.232,0.6645276390120055,0.31079493833385735,0.4661228286155555,0,Default series,1,1,2e-06
27,139.964035,47.829639,-160.11,0.48876047261256894,0.3105811084778273,0.4587450138942024,0,Default series,1,1,2e-06
28,240.0,40.0,-90.1741,0.6143213462501607,0.30075367978148837,0.5465255706432801,0,Default series,1,1,2e-06
30,206.0,46.0,-108.677,0.5716459974025925,0.3082846236957651,0.5233015202847016,0,Default series,1,1,2e-06
32,-0.001704,55.991928,-134.69,0.3130814508910198,0.320826065256347,0.4906511129443548,0,Default series,1,1,2e-06
33,294.0,58.0,-151.855,0.6820998414786512,0.3233465115243186,0.46910633756292813,0,Default series,1,1,2e-06
35,131.95588700000002,43.7911,-160.011,0.47870898703836445,0.3055121066937241,0.458869274468788,0,Default series,1,1,2e-06
36,67.96376,162.50564599999998,-156.013,0.3983888004729854,0.4545175379828616,0.46388739343033436,0,Default series,1,1,2e-06
37,298.0,120.0,-137.054,0.6871204707548357,0.4011662653051781,0.48768392104212976,0,Default series,1,1,2e-06
38,128.786072,298.925659,-121.884,0.4747303705410922,0.6257461157641787,0.5067246575720594,0,Default series,1,1,2e-06
39,133.398544,61.759579,-120.01799999999999,0.4805197485307875,0.3280653746227007,0.5090667811293995,0,Default series,1,1,2e-06
40,99.91974599999999,84.767616,-130.028,0.43849859018822085,0.3569440806601346,0.49650265636574786,0,Default series,1,1,2e-06
41,274.429504,158.0,-150.0,0.6575357901868883,0.4488622434289308,0.4714346543897587,0,Default series,1,1,2e-06
