,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
100,352798.25,6698505.5,254.579992,0.38673040285389193,0.6706409816428592,0.5375425021187075,Abrolhos_Transfer,fault_Abrolhos_Transfer,1,1,2e-06
101,371748.625,6683887.0,282.85747799999996,0.5286042611475463,0.5611981343395323,0.537754204316773,Abrolhos_Transfer,fault_Abrolhos_Transfer,1,1,2e-06
102,392594.063,6668185.0,228.405954,0.6846656961788404,0.4436435570329111,0.5373465475923097,Abrolhos_Transfer,fault_Abrolhos_Transfer,1,1,2e-06
84,340231.045846,6687301.780702,-983.011697,0.2926447849549313,0.5867632280867214,0.5282771494325158,Coomallo,fault_Coomallo,2,2,2e-06
85,341657.530298,6687469.941049,-3728.998697,0.30332430200940375,0.5880221771703669,0.5077190459377714,Coomallo,fault_Coomallo,2,2,2e-06
86,343629.436036,6687702.39809,-6728.4606969999995,0.3180871695115749,0.5897624898182273,0.48526327676459136,Coomallo,fault_Coomallo,2,2,2e-06
87,338862.633991,6650790.6960660005,-1174.500105,0.2824000341463785,0.3134193788069393,0.5268435525110053,Coomallo,fault_Coomallo,2,2,2e-06
88,340922.351837,6651281.760412,-4585.943104999999,0.2978203156874199,0.31709578064265054,0.5013034468002275,Coomallo,fault_Coomallo,2,2,2e-06
89,343668.643595,6651936.5131830005,-7762.114105,0.31838070078309844,0.32199765207528896,0.4775247282065103,Coomallo,fault_Coomallo,2,2,2e-06
90,338001.531,6703286.5,151.117327,0.2759533013655562,0.7064344114035875,0.5367679186356422,Coomallo,fault_Coomallo,2,2,2e-06
78,350677.949316,6688533.308264,-391.56869700000004,0.3708565618992007,0.5959831810858589,0.5327050459976642,Eneabba_South,fault_Eneabba_South,3,3,2e-06
79,348370.39971100003,6688261.284028,-3053.062697,0.35358086336208255,0.5939466447159599,0.512779507711197,Eneabba_South,fault_Eneabba_South,3,3,2e-06
80,345517.430806,6687924.963332,-5503.327697,0.3322218292456508,0.591428746533706,0.4944353562423262,Eneabba_South,fault_Eneabba_South,3,3,2e-06
81,347559.22261399997,6652864.079376,-2586.131105,0.34750790572874574,0.32894196819692734,0.5162752372952415,Eneabba_South,fault_Eneabba_South,3,3,2e-06
82,354951.313,6642333.0,219.196929,0.4028495221303872,0.2501,0.537277603315066,Eneabba_South,fault_Eneabba_South,3,3,2e-06
83,353707.75,6648758.0,196.407131,0.3935394646333068,0.2982013984966909,0.5371069852364267,Eneabba_South,fault_Eneabba_South,3,3,2e-06
94,357769.856194,6656062.027115,-1777.172105,0.4239508247536913,0.35288372050280303,0.5223315889258228,Hypo_fault_W,fault_Hypo_fault_W,4,4,2e-06
95,358864.20458200003,6656405.313355001,-5960.088105,0.43214377228760587,0.35545376691971886,0.4910157742341209,Hypo_fault_W,fault_Hypo_fault_W,4,4,2e-06
96,360731.034915,6656990.919521,-10075.538105,0.44611998236906,0.35983796544934743,0.46020505042973076,Hypo_fault_W,fault_Hypo_fault_W,4,4,2e-06
91,377661.25506500003,6662301.761725,-1912.105105,0.5728697514074813,0.39959811131824113,0.5213213996646003,Hypo_fault_E,fault_Hypo_fault_E,5,5,2e-06
92,376631.28072800004,6661978.668988,-5622.7561049999995,0.565158746578625,0.3971792455604443,0.49354124364387747,Hypo_fault_E,fault_Hypo_fault_E,5,5,2e-06
93,374635.7042,6661352.676416,-10480.336105,0.5502186653639987,0.3924926902045365,0.45717449013266254,Hypo_fault_E,fault_Hypo_fault_E,5,5,2e-06
75,381591.76273200003,6692177.566432,-954.276697,0.60229588612883,0.623266280597731,0.5284922768544306,Urella_North,fault_Urella_North,6,6,2e-06
76,379779.180773,6691963.891187999,-3996.161697,0.5887258118692544,0.6216665797322747,0.5057189036923906,Urella_North,fault_Urella_North,6,6,2e-06
77,376671.90379899996,6691597.591523999,-7211.869697,0.5654628752208548,0.6189242410385362,0.4816441874344922,Urella_North,fault_Urella_North,6,6,2e-06
70,391199.87631799997,6693310.213703,-335.036697,0.6742279795765581,0.6317459565103464,0.5331282784116431,Darling,fault_Darling,7,7,2e-06
71,388934.151104,6693043.119912,-3719.1336969999998,0.6572654034827662,0.6297463324049979,0.5077929012367861,Darling,fault_Darling,7,7,2e-06
72,386026.47302800004,6692700.349855,-7217.301697,0.6354967837421024,0.6271801504432077,0.48160352022879044,Darling,fault_Darling,7,7,2e-06
73,393786.593975,6662955.597879,-2703.767105,0.6935936973692097,0.40449312040697155,0.5153945437367112,Darling,fault_Darling,7,7,2e-06
